Thumb,Index,Middle,Ring,Pinky,Meaning
0.0,48.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,78.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,50.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,46.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,82.0,T
0.0,49.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,46.0,90.0,90.0,80.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,79.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,48.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,46.0,90.0,90.0,78.0,T
0.0,47.0,90.0,90.0,80.0,T
0.0,49.0,90.0,90.0,81.0,T
0.0,47.0,90.0,90.0,79.0,T
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,44.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,45.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,40.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,43.0,L
0.0,0.0,90.0,90.0,42.0,L
0.0,0.0,90.0,90.0,39.0,L
0.0,0.0,90.0,90.0,41.0,L
0.0,0.0,90.0,90.0,41.0,L
